outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
SUCCESS,2,True,3,False,True,0,0,0,False,True,1.0,0.0,0.5833924769339958,0.6923076923076923,28.2,0.63,2.0
SUCCESS,2,False,0,False,False,0,0,1,True,True,,0.3333333333333333,0.6111111111111112,0.8333333333333334,27.9,0.63,2.0
SUCCESS,2,True,4,False,True,0,0,1,False,True,0.7142857142857143,0.0,0.4684014869888476,0.7037037037037037,27.9,0.69,1.98
SUCCESS,2,False,0,False,False,1,0,1,True,True,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.7037037037037037,27.9,,1.99
SUCCESS,2,False,1,False,False,0,0,1,False,False,1.0,0.0,0.6625641025641026,0.5,29.5,0.69,1.98
SUCCESS,2,False,2,True,False,0,0,1,True,True,1.0,0.0,0.6054114994363021,0.9,28.3,0.77,2.14
SUCCESS,0,False,3,False,False,3,0,1,False,True,1.0,0.0,0.8143322475570033,,29.7,0.69,1.98
SUCCESS,0,False,0,False,False,0,0,1,False,False,0.7857142857142857,0.034782608695652174,0.6181299072091363,0.625,27.3,0.76,2.08
SUCCESS,1,False,1,False,False,2,0,1,True,False,1.0,0.04081632653061224,0.7268475210477081,0.5,29.5,0.5800000000000001,2.07
FAILURE,2,False,3,False,True,0,0,1,True,False,,0.0,0.6393280632411067,0.64,27.9,0.5800000000000001,2.07
SUCCESS,2,True,0,False,False,0,0,1,False,True,,0.0,0.5354545454545454,,29.7,,1.99
SUCCESS,0,False,3,False,True,2,0,0,True,True,0.5,0.07692307692307693,0.5660592255125285,0.6153846153846154,26.7,,1.99
SUCCESS,0,False,1,False,False,1,0,1,True,False,0.42857142857142855,0.013333333333333334,0.5386969829470922,,29.7,0.69,1.98
SUCCESS,1,False,2,False,True,2,0,0,True,True,1.0,0.0,0.6054114994363021,0.75,28.7,0.77,2.14
FAILURE,2,False,0,False,False,0,0,1,True,True,1.0,0.0,0.9014492753623189,0.7058823529411765,26.8,0.73,1.96
FAILURE,1,False,3,False,True,0,0,1,True,False,0.75,0.0,0.5233846153846153,0.8333333333333334,27.9,0.76,2.04
SUCCESS,2,True,3,False,False,0,0,1,False,True,0.75,0.0,0.5346534653465347,0.7272727272727273,28.9,,1.99
SUCCESS,2,True,1,False,False,0,0,1,False,False,0.6666666666666666,0.0,0.6069958847736625,0.7222222222222222,28.2,0.77,2.11
SUCCESS,0,False,1,False,False,1,0,1,False,False,1.0,0.0,0.6625641025641026,1.0,27.7,0.77,1.88
