last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Chatwood, Tyler,543022,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.68,25.2,
Cole, Gerrit,543037,2017,0,0,0,0,0,1,0,0,0,0,0,1,,,21.2,
Coleman, Dusty,543038,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,27.9,
Conley, Adam,543045,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.8,
Crawford, Brandon,543063,2017,5,3,3,2,0,1,0,0,3,0,0,1,,4.41,25.9,
Cron, C.J.,543068,2017,2,3,2,0,0,0,0,0,3,0,0,0,,4.64,25.8,
Davis, Taylor,543089,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.8,
Decker, Jaff,543094,2017,1,1,1,0,0,1,0,0,1,0,0,1,,,26.1,
Federowicz, Tim,543148,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Giavotella, Johnny,543213,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,,
Gillaspie, Conor,543216,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.59,25.5,
Gomes, Yan,543228,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.53,26.8,
Grossman, Robbie,543257,2017,1,3,1,0,0,1,0,0,3,0,0,1,,4.27,27.9,
Harrison, Josh,543281,2017,4,12,3,1,0,1,0,0,12,0,0,1,1,4.3,27.6,
Hendricks, Kyle,543294,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.0,
Herrmann, Chris,543302,2017,0,5,0,0,0,1,0,0,5,0,0,1,,4.25,27.1,
Hicks, Aaron,543305,2017,5,10,5,0,0,1,0,0,9,1,0,1,3,4.16,28.5,
Hicks, John,543308,2017,1,2,1,0,0,1,0,0,1,1,0,1,,4.4,27.2,
Higashioka, Kyle,543309,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.2,
Hosmer, Eric,543333,2017,1,6,1,0,0,1,0,0,5,1,0,1,1,4.3,27.1,
Jimenez, A.J.,543362,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Joseph, Caleb,543376,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.63,25.9,
Kipnis, Jason,543401,2017,2,6,2,0,0,0,0,0,5,1,0,0,,4.33,27.2,
Koehler, Tom,543408,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lavarnway, Ryan,543432,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lyles, Jordan,543475,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.2,
Mahtook, Mikie,543484,2017,0,6,0,0,0,0,1,0,5,1,0,1,10,4.2,28.9,
McCann, James,543510,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.59,26.7,
Miller, Brad,543543,2017,3,5,2,1,0,0,0,0,3,2,0,0,,4.29,27.7,
Milone, Tommy,543548,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Montgomery, Mike,543557,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.3,
Nieuwenhuis, Kirk,543590,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.7,
Ortiz, Danny,543611,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Rendon, Anthony,543685,2017,2,7,2,0,0,2,0,0,7,0,0,2,,4.27,27.5,
Roark, Tanner,543699,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.3,
Robertson, Daniel,543706,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.24,27.9,
Rusin, Chris,543734,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Semien, Marcus,543760,2017,1,12,1,0,0,2,0,0,11,1,0,2,3,4.27,28.5,
Shaw, Travis,543768,2017,0,10,0,0,0,0,0,0,2,8,0,0,,4.52,25.6,
Springer III, George,543807,2017,7,5,6,1,0,2,0,0,4,1,0,2,4,4.3,28.0,
Strange-Gordon, Dee,543829,2017,16,60,13,3,0,3,1,0,54,6,0,4,122,3.89,29.4,
Vazquez, Christian,543877,2017,2,7,1,1,0,0,0,0,6,1,0,0,,4.49,25.9,
Wong, Kolten,543939,2017,2,8,1,1,0,1,2,0,7,1,0,3,2,4.18,27.5,
Gregorius, Didi,544369,2017,1,3,1,0,0,0,1,0,3,0,0,1,1,4.26,28.2,
Garcia, Leury,544725,2017,5,8,5,0,0,1,0,0,8,0,0,1,5,4.1,28.6,
Strasburg, Stephen,544931,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.0,
Vargas, Ildemaro,545121,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.2,
Fontana, Nolan,545337,2017,1,1,1,0,0,0,0,0,1,0,0,0,,,27.8,
Franklin, Nick,545338,2017,0,2,0,0,0,0,0,0,2,0,0,0,,4.37,26.4,
Grichuk, Randal,545341,2017,1,6,0,1,0,1,0,0,6,0,0,1,,4.33,28.5,
Marisnick, Jake,545350,2017,4,9,4,0,0,2,0,0,9,0,0,2,9,4.24,29.2,
Stassi, Max,545358,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.7,
Trout, Mike,545361,2017,4,22,4,0,0,1,0,0,22,0,0,1,22,4.25,29.4,
Herrera, Odubel,546318,2017,5,8,4,1,0,2,0,1,8,0,0,3,5,4.15,27.3,
Almora Jr., Albert,546991,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.38,27.7,
Ruiz, Rio,547004,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.57,26.6,
Delmonico, Nicky,547170,2017,0,2,0,0,0,0,1,0,2,0,0,1,,4.39,27.6,
Wolters, Tony,547172,2017,1,0,0,1,0,0,0,0,0,0,0,0,,4.42,26.4,
Lorenzen, Michael,547179,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,,29.3,
Harper, Bryce,547180,2017,2,4,1,1,0,0,0,0,4,0,0,0,,4.27,27.7,
Perez, Roberto,547379,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.8,24.8,
Ngoepe, Gift,547912,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.28,28.6,
Ryu, Hyun Jin,547943,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.5,
Kim, Hyun Soo,547957,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.35,26.3,
Martin, Leonys,547982,2017,4,7,4,0,0,3,0,0,6,1,0,3,1,4.36,27.4,
Abreu, Jose,547989,2017,0,3,0,0,0,0,0,0,3,0,0,0,,4.53,26.8,
Diaz, Elias,553869,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.5,27.2,
Narvaez, Omar,553882,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.69,25.3,
Machado, Dixon,553988,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.4,27.7,
Suarez, Eugenio,553993,2017,5,4,5,0,0,3,0,1,4,0,0,4,,4.47,26.9,
Wheeler, Zack,554430,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.2,
Polanco, Gregory,570256,2017,1,8,1,0,0,1,0,1,7,1,0,2,2,4.25,27.2,
Santana, Domingo,570267,2017,4,15,4,0,0,0,0,0,13,2,0,0,,4.45,27.2,
Gonzalez, Erik,570481,2017,2,1,2,0,0,0,0,0,1,0,0,0,,4.24,28.1,
Urshela, Gio,570482,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.4,26.5,
Alcantara, Arismendy,570489,2017,0,2,0,0,0,0,0,0,2,0,0,0,9,4.11,29.1,
Sanchez, Carlos,570560,2017,9,8,7,1,1,3,0,0,6,2,0,3,,4.19,28.5,
Urena, Jose,570632,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,28.0,
Schoop, Jonathan,570731,2017,0,1,0,0,0,0,0,0,0,1,0,0,,4.47,27.6,
Villanueva, Christian,570799,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.7,
Adams, Matt,571431,2017,0,0,0,0,0,0,1,0,0,0,0,1,,4.53,26.0,
Altherr, Aaron,571437,2017,4,5,4,0,0,1,0,0,5,0,0,1,1,4.4,28.9,
Arenado, Nolan,571448,2017,2,3,2,0,0,0,0,0,3,0,0,0,,4.58,25.6,
Barnhart, Tucker,571466,2017,0,4,0,0,0,0,0,0,4,0,0,0,,4.6,25.2,
Bour, Justin,571506,2017,0,1,0,0,0,1,0,0,1,0,0,1,,4.64,24.1,
Corbin, Patrick,571578,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.48,25.1,
Davidson, Matt,571602,2017,1,0,1,0,0,0,0,0,0,0,0,0,1,4.64,25.5,
